"liver_S7"	"brain_S7"	"muscle_S7"	"heart_S7"	"kidney_S7"	"lung_S7"	"liver_S12"	"brain_S12"	"muscle_S12"	"heart_S12"	"kidney_S12"	"lung_S12"	"liver_S13"	"brain_S13"	"muscle_S13"	"heart_S13"	"kidney_S13"	"lung_S13"
"ATP6AP1L"	27	71	34	39	59	23	7	68	15	5	53	11	19	111	42	19	45	39
"ATP6AP2"	2234	7876	551	1209	5020	5340	1113	8326	502	1026	6684	2801	2193	6347	835	1314	5822	5127
"ATP6V0A1"	1163	12256	1345	858	3069	1801	1507	21116	1451	633	2139	1700	1506	12464	2149	800	3269	2150
"ATP6V0A2"	727	676	612	481	698	1062	449	777	438	389	990	903	482	1302	923	465	669	1197
"ATP6V0A4"	2	6	16	0	4989	227	0	29	0	0	3812	11	0	19	0	0	5125	22
"ATP6V0B"	1102	3387	762	471	2984	2989	1096	4186	591	276	5148	830	1323	3190	1091	366	2977	2918
"ATP6V0C"	251	1503	287	186.07	667.39	994.99	267	3210.02	400.34	177	805	449.55	310.91	1586	353	131.53	864.62	937.49
"ATP6V0CP3"	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
"ATP6V0D1"	1112	4911	1569	878	2533	4071	836	6106	1236	424	2917	1129	1152	4263	2049	616	2346	3058
"ATP6V0D2"	1	0	3	1	1502	154	0	1	0	0	424	61	0	4	1	0	2248	709
"ATP6V0E1"	1919	647	1246	1732	4467	3689	839	555	695	709	4121	1691	1920	821	1563	1098	4716	4160
"ATP6V0E2"	2030	7433	127	1437	1452	340	1961	8605	160	360	1936	196	1082	8892	174	728	1055	493
"ATP6V0E2-AS1"	17	247	22	72	106	25	18	298	39	41	255	28	17	431	11	64	72	25
"ATP6V1A"	4085	23873	1015	1096	13629	6417	2592	25702	819	749	15208	2450	4029	19847	1540	1058	14961	5972
"ATP6V1B1"	0	2	6	4	3770	42	2	3	3	10	291	29	0	18	7	11	3818	112
"ATP6V1B2"	1591.44	17881.61	1560.32	1232.02	6537.26	6821.58	1267.88	22522.2	1290.09	584.58	2498.65	1974.22	1494.86	12157.81	2131.24	912.12	7085.2	5677.23
"ATP6V1C1"	1184	15694	742	1330	4070	2647	1317	16841	712	742	3562	1613	1638	10643	1251	1033	5035	2855
"ATP6V1C2"	1	0	12	23	163	13	3	8	1	6	166	5	2	4	9	11	411	16
"ATP6V1D"	886	5605	1477	2493	3082	1775	459	5812	1176	481	2691	714	1008	4517	1826	1116	3353	1899
"ATP6V1E1"	877	9745	2305	2773	3646	3399	481	10544	1754	741	3367	1674	1096	8007	3896	1400	4153	3692
"ATP6V1E2"	23	66	25	28	52	33	13	55	35	8	55	23	14	32	60	20	55	21
"ATP6V1F"	223	1729	496	436	1534	1512	138	2116	282	178	1339	507	278	1770	594	279	1636	1527
"ATP6V1G1"	1193	1767	1641	1002	2597	2514	657	1710	782	405	2222	1151	1041	2411	2284	726	2719	2505
"ATP6V1G2"	3	5325.73	25	20	23	8	0	6174.29	20.5	10	8	15.91	4	11246.98	12	25	42	6
"ATP6V1G2-DDX39B"	0	44.09	0	0	0	0	0	78.09	33.64	13.89	13.47	1.2	0	81.13	13.57	0	0	0
"ATP6V1G3"	0	0	0	0	121	0	0	0	0	0	55	0	0	0	0	0	159	0
"ATP6V1H"	506	5982	869	963	2533	1538	326	7142	653	206	3373	795	525	4237	1132	523	2612	1702
"ATP7A"	309	478	606	665	1265	2126	279	543	353	449	1581	1506	577	585	701	612	1364	2123
"ATP7B"	2565	273	91	252	614	675	3406	643	163	184	589	426	2026	988	111	265	821	343
"ATP8A1"	262.71	20339	7597	2263	1417	4154	49.83	20570	5975	621	1408	2566	458	10130	13466	2033	1901	5126
"ATP8A2"	0	3981	16	14	42	98	1	6548	9	2	7	43	1	8014	6	14	46	77
"ATP8B1"	1300	179	170	480	2054	2007	1260	275	167	1088	2228	1275	1326	44	277	925	3063	1732
"ATP8B2"	247	1096	160	506	741	1931	217	2374	118	753	618	1551	449	2758	228	770	779	1715
"ATP8B3"	4	5	1	6	3	85	8	15	0	6	8	36	40	8	1	10	15	56
"ATP8B4"	203	230	32	153	298	485	195	249	28	269	81	292	418	431	89	272	359	388
"ATP8B5P"	0	4	10	4	1	15	0	5	19	1	3	13	2	1.22	6	1	1	30
"ATP9A"	994	22725	1009	1786	1752	3614	1567	39473	718	972	4789	1811	1639	24987	1921	1950	2803	2566
"ATP9B"	998.45	1790.93	569.11	1152.01	2049.82	2646.37	2243.3	4132.54	825.8	1670.47	2401.45	3115.37	1778.21	3511.63	875	2095.29	2456.98	2940.16
"ATPAF1"	2935	4705	4598	4773.95	3484.4	1224	1224	4703.91	3390.93	722.74	2179	450	1731	4677	5544	2329	3379	1001
"ATPAF2"	328	228	268	416	463	314	244	423	265	110	262	162	245	555	377	220	457	270
"ATPIF1"	1990	1498	1719	2074	2675	1048	1021	2040	1297	455	2248	672	1405	2247	2141	702	3108	1115
"ATR"	854	2491	507	1115	1770	2213	976	2887	538	663	2415	1760	1379	2647	1124	966	1940	1721
"ATRAID"	924	656	1744	1352	2259	1737	430	553	1178	553	2319	916	879	900	1944	801	2177	2035
"ATRIP"	111	155.62	91.51	103.35	140.31	246.85	172.84	171.11	133.72	76.55	171.05	224.25	148.23	347.13	155.85	104.51	173.03	199.93
"ATRN"	7399	8064	1176	2540	4631	3441	4637	11535	1102	1188	7918	2148	8851	8678	1724	1881	4799	3339
"ATRNL1"	397	53901	9	47	509	46	104	58723	87	51	1762	62	1111	4444	579	40	522	9
"ATRX"	2313	9426	3439	6225	5223	5584	2141	11989	3905	2728	6834	5456	3308	16446	5745	4472	5497	5617
"ATXN1"	1313	8007	3300	2603	2017	3624	1979	11452	2522	1434	2112	2399	1459	6246	3384	1795	2165	3622
"ATXN10"	2278	4693	1518	1842	2125	2144	1166	6283	1615	668	3643	1439	1892	5228	2150	968	1841	2052
"ATXN1L"	912	1950	830	1131	3327	2509	1563	2582	933	964	2444	1993	1095	2403	1553	1004	3951	2678
"ATXN2"	613	1513	406	882	894	1133	934	2513	554	475	1167	1375	756	2549	526	786	1043	1053
"ATXN2L"	603	1042	276	420	998	1599	953	2320	639	541	950	2098	845	1524	310	542	1112	1527
"ATXN3"	601	1163	249	596	877	2014	642	1532	257	554	917	1258	863	2181	436	798	1076	1758
"ATXN3L"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ATXN7"	881	648	578	753	1026	1560	865	1076	778	513	1047	1528	891	1444	817	702	1221	1531
"ATXN7L1"	158	321	44	100	490	385	220	581	62	101	226	273	171	550	106	142	480	248
"ATXN7L2"	31	108	71	14	66	56	28	220	76	21	98	77	24	251	61	27	89	47
"ATXN7L3"	438	4985	443	393	780	1240	569	7312	295	415	928	951	606	2671	469	484	1055	1196
"ATXN7L3B"	2446	8832	1453	1879	4694	3435	2020	10750	1622	963	3961	2003	1949	10674	2487	1559	4946	2864
"ATXN8OS"	0	0	0	0	0	0	0	7	0	0	0	0	0	10	0	0	0	0
"AUH"	616	743	382	720	1623	443	313	714	372	153	1140	243	461	956	453	355	1704	479
"AUNIP"	0	71	0	2	4	7	0	121	0	0	3	4	1	50	0	5	3	3
"AUP1"	2621	900	920	561	1384	2127	1868	1346	816	485	1710	1366	2156	1452	1436	547	1738	1827
"AURKA"	59	88	111	116	77	129	47	61	195	35	68	44	104	94	491	53	112	140
"AURKAIP1"	1455	947	1293	858	1319	805	890	1228	1312	328	1163	461	997	1274	1588	553	1542	736
"AURKAPS1"	24	17	7	40	45	39	67	45	12	23	27	64	40	60	13	36	45	32
"AURKB"	5	0	0	5	0	48	3	3	0	1	1	9	8	0	0	6	4	22
"AURKC"	17	8	14	6	5	9	3	16	10	4	18	8	17	19	23	11	12	16
"AUTS2"	818	679	268	152	665	700	755	1562	523	217	856	660	604	861	484	230	615	612
"AV1S4A1N1T"	0	10	0	1	1	9	4	12	0	0	0	12	1	0	1	2	0	5
"AV25S1"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"AV2S1A1"	0	0	0	0	0	5	0	0	0	0	1	2	0	0	0	0	0	4
"AV30S1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AV4S1"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"AV8S2"	0	0	0	1	0	2	0	1	0	0	0	1	1	0	0	0	0	4
"AV8S2A1N1T"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AVEN"	303	157	337	379	130	169	196	149	274	96	77	157	289	267	605	275	210	163
"AVIL"	29	11	125	24	119	109	70	43	113	30	68	107	147	156	105	54	108	53
"AVL9"	554	1713	318	286	831	830	442	2431	340	212	857	671	531	1825	520	286	1043	870
"AVP"	0	5	0	0	1	0	0	2	0	0	0	0	0	1	0	0	3	0
"AVPI1"	381	440	53	96	238	950	484	568	67	43	188	271	471	529	79	86	155	762
"AVPR1A"	1797	57	153	362	451	84	623	43	67	272	258	120	1513	17	177	683	492	79
"AVPR1B"	0	0	0	0	14	0	0	5	0	0	3	0	0	10	0	0	5	0
"AVPR2"	0	0	26	34	203	138	0	1	25	55	114	59	3	6	60	87	179	49
"AWAT1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AWAT2"	0	0	0	0	0	62	0	0	0	0	0	11	0	0	0	1	0	38
"AX229788"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AX721123"	0	0	0	0	1	0	1	3	0	0	1	2	0	3	0	0	0	0
"AX721128"	0	0	0	0	0	0	0	0.71	0	0	0	0	0	1.69	1	0	0	0
"AX721193"	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	6
"AX721199"	1	0	1	1.94	4.37	6	0	4	1	0	1.59	12.68	0	4	0	2	2.95	7.67
"AX721264"	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
"AX721280"	2	0	1	0	7	5	4	5	3	4	7	9	5	7	0	1	3	5
"AX721289"	0	16.51	3.64	0.18	2.35	1.53	6.42	26.01	0.51	1.62	8.61	11.22	2.66	0	4.9	2.16	8.14	0.04
"AX746478"	7	22	2	1	32	22	4	41	2	4	18	24	12	46	0	15	37	28
"AX746484"	1	1	0	5	1	20	5	9	1	12	5	36	7	3	1	8	4	17
"AX746485"	0	0	0	0	0	0	0	16.7	0	0	0	0	0.1	34.31	0	0	0	3
"AX746487"	0	3	4	0	3	13	1	29	0	0	0	18	0	40	0	0	4	3
"AX746492"	21	38	7	28	22	48	26	104	64	21	37	57	23	68	5	26	42	31
"AX746504"	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
"AX746522"	15	7.08	0	0	11	9	12	48.22	0	3.02	16.08	12	2.03	41	1	11	21	19
"AX746523"	19	29	23	82	29	24	52	47	17	15	46	38	24	25	12	39	18	57
"AX746535"	0	0	0	1	0	1	0	0	0	0	2	5	0	2	0	0	0	0
"AX746542"	0	0	5	0	5	0	0	0	3	1	11	0	1	0	5	0	9	2
"AX746544"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"AX746562"	0	34	10	9	9	0	0	73	5	5	1	1	3	54	6	6	6	3
"AX746564"	144.37	128.69	6.83	18.25	37.07	60.21	79.43	195.05	4.53	21.18	50.43	52.97	104.2	517.03	11.77	44.84	69.12	64.84
"AX746567"	0	0	0	1	0	1	0	13.03	0	0	0	0	0	3.06	0	0	0	0
"AX746575"	36	14	21	0	22	20	35	52	47	1	7	8	18	57	38	4	36	12
"AX746582"	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0
"AX746590"	0	3	2	4	0	4	0	5	6	0	3	0	0	72	5	2	0	0
"AX746596"	4	5	0	7	0	3	0	12	1	12	2	5	0	3	1	5	0	1
"AX746604"	0	1	0	0	1	0	0	11	0	0	6	0	0	11	0	0	1	0
"AX746605"	17	14	10	12	21	32	9	39	15	16	29	18	6	61	12	31	26	28
"AX746617"	2	0	0	0	4	0	2	1	0	1	6	0	2	5	2	0	8	0
"AX746620"	0	4	0	0	1	8	6	7	6	3	1	10	5	6	1	5	2	8
"AX746622"	1	6	3	2	6	15	16	34	3	5	7	11	7	30	1	8	5	7
"AX746627"	3	243	0	6	18	6	1	382	3	0	19	8	0	447	1	3	5	8
"AX746631"	0	2	0	0	0	0	0	1	0	0	0	0	0	10	0	0	0	0
"AX746635"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AX746638"	0	36	11.15	34.38	30.01	13.47	0	53.03	3	20	41.11	14	2	58.1	6.13	25	50.04	3
"AX746640"	2	2	1	2	5	1	4	1	0	1	14	4	2	1	0	0	4	0
"AX746649"	0	2	0	0	0	0	0	16	0	0	0	1	0	0	0	0	0	0
"AX746653"	0	23.98	0	2.4	2.31	32.33	1.84	37.59	0	3.79	3.59	27.91	0	14.02	0	4.28	1.95	39.79
"AX746654"	0	3	0	6	0	0	0	3	0	0	0	0	0	1	0	5	1	0
"AX746670"	19	26	43	55	37	66	58	44	77	26	42	54	31	23	109	37	68	61
"AX746671"	0	1	1	0	18	19	76	39	3	5	10	9	26	33	1	14	25	28
"AX746677"	13	6	1	4	6	38	73	14	0	1	5	13	54	3	0	0	20	15
"AX746683"	0	24	0	0	7	0	0	73	0	0	1	3	1	18	0	0	4	0
"AX746690"	0	4	1	1	4	10	12	20	1	3	5	2	3	36	1	3	3	2
"AX746699"	1	4	0	5	6	14	3	20	2	1	8	3	0	12	4	8	9	3
"AX746710"	0	0	0	2	0	0	0	4	3	0	0	0	0	1	1	0	0	0
"AX746719"	0	22.92	8.13	2.57	2.72	6.24	1.28	1.15	8.32	0	0	0	7.1	0	8.31	0	1.28	3.55
"AX746723"	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0
"AX746725"	0	0	0	0	0	1	0	6	0	0	0	0	0	4	0	0	0	0
"AX746733"	0	7	0	0	0	8	0	10	0	1	3	1	0	1	0	0	0	7
"AX746734"	0	23	0	0	7	5	0	107	0	1	15	11	0	47	0	3	10	7
"AX746750"	10.35	19.78	0	19.37	29.9	54.79	32.75	92.86	15	5.31	57.79	34.66	14.16	140.73	0	18.28	46.34	49.13
"AX746755"	6	83	20	64	90	48	24	85	22	11	52	13	25	145	47	48	89	48
"AX746764"	6	21	5	18	18	19	30	58	9	7	50	11	45	62	0	21	17	27
"AX746765"	1	27	5	1	1	6	2	35	2	2	15	2	1	50	2	3	4	2
"AX746771"	1	15	11	13.03	24.62	30.93	12	0	6	22.17	12.56	1.17	3	68.08	15.68	8.17	0	18.14
"AX746775"	9.82	29.84	1.7	5.94	1.99	56.99	45.27	31.61	7.34	13.47	27.62	41.61	24.59	68.14	0	7.54	23.88	63.56
"AX746780"	1	0	3	11	4	3	5	1	1	6	13	0	4	13	5	4	6	3
"AX746787"	1	0	1	0	0	2	3	2	3	0	0	1	6	2	0	0	2	0
"AX746800"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"AX746803"	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AX746823"	9	5	1	16	4	227	34	9	3	38	10	119	20	0	3	18	13	219
"AX746826"	0	18	0	0	0	10.49	0	167	0	0	0	2	0	28	0	0	0	4
"AX746830"	20	2	0	1	9	7	7	2	0	0	0	1	17	7	0	0	10	3
"AX746834"	0	0	0	1	0	4	0	1	0	5	3	0	0	1	0	3	1	1
"AX746839"	0	0	0	0	0	9	0	1	0	1	3	0	0	1	0	0	1	4
"AX746840"	10.67	0	0	0	3.77	110.23	5.15	1	1	0	35.71	4.15	59.7	1.4	0	5.92	4.82	8.93
"AX746851"	7.48	18.99	2	11	137.44	417.7	13.39	43.04	0	2	105.48	66.76	2	7.51	2.52	18.2	111.1	274.29
"AX746857"	5	8	9	1	6	14	6	12	5	8	14	13	0	26	4	0	9	11
"AX746867"	18	37	0	73	51	132	46	232	22	81	79	86	60	154	4	86	61	88
"AX746869"	18	29.29	3.1	29	18.26	81.5	64.98	82.16	23.55	40.28	63.49	64.81	58.27	100.91	17.03	49.05	45.96	80.51
"AX746871"	2	0	0	0	0	3	3	0	0	0	0	0	29	0	0	0	0	0
"AX746877"	10	0	2	0	0	2	9	2	0	0	1	1	0	2	0	0	0	0
"AX746880"	0	7	1	12	0	0	0	15	0	1	0	1	0	6	0	3	0	0
"AX746885"	11.72	30.04	11.51	23.61	184.3	107.82	82.39	46.37	13.57	68.1	64.39	137.04	38.69	25.13	14.11	51.75	202.8	160.1
"AX746903"	0	4	13	12	5	23	0	1	0	10	7	10	1	7	6	14	4	24
"AX746920"	0	0	3	0	0	0	0	0	0	2	0	3	0	0	0	0	1	0
"AX746944"	3	19	10	12	13	30	8	58	3	9.1	21	16	18	42	1	13	31	14
"AX746964"	0	11	0	0	4	10	0	32	0	0	15	4	0	57	0	0	5	10
"AX746967"	9	32	33	26	28	37	19	66	61	11	54	30	23	49	38	28	37	48
"AX746968"	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AX746969"	6.04	10.12	0	6.01	12.13	36.31	20.12	34.71	7.04	6.2	11.15	13.07	9.08	53.14	1.03	12.01	4.05	6.05
"AX746989"	8	7	0	7	7	28	6	27	3	12	10	11	16	24	1	10	7	13
"AX746991"	12.05	18	0	1	10	37	33	49.23	5	0	8	37	28	22	7.04	4	21	39.25
"AX746995"	0	14	0	0	0	0	0	7	0	0	1	4	0	9	0	0	2	3
"AX746996"	0	0	0	0	1	0	0	14	0	0	0	0	0	1	0	0	0	0
"AX747003"	6.27	56.66	6.89	2.56	36.09	21.21	35.23	76.53	16.59	5.98	60.62	15.69	4.13	92.46	35.72	19.68	39.12	15.57
"AX747021"	104	4	1	4	155.01	33	542	35	8	10	84	32	167	54	2	5	219	21
"AX747026"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AX747031"	0	23	1	1	23	0	1	33	0	0	0	2	0	30	0	0	25	0
"AX747048"	0	0	2	2	0	0	0	0	1	2	2	8	0	0	4	4	0	0
"AX747062"	0	3	0	0	2	4	0	2	0	1	0	0	0	29	0	2	1	3
"AX747064"	1	4	1	5	5	24	4	20	1	4	8	19	0	42	5	13	12	7
"AX747067"	38	1669	430	181	196	246	29	1724	410	55	485	98	35	1293	717	131	199	220
"AX747070"	0	3	1	0	0	0	0	27	0	0	0	4	0	41	0	0	0	0
"AX747080"	2	13	2	4	11	28	56	28	10	18	19	22	20	31	0	3	28	32
"AX747081"	21.02	1	0	14.01	20.02	20.01	28.01	27.1	6.01	30.03	60.04	33.04	22.01	15.03	5	28.04	38.03	27.03
"AX747088"	2.14	28.71	0	17.38	16.17	34.69	0	78.2	17.21	34.7	19.45	33.14	8.62	79.13	5.41	26	19.18	37.07
"AX747090"	38.97	48.72	1.78	6.52	20.72	39.1	58.22	107.65	19.68	17.22	18.39	48.53	20.8	194.21	15.61	20.85	16.02	38.44
"AX747098"	0	1	0	0	3	3	10	4	2	4	10	11	8	6	0	2	5	0
"AX747103"	7.04	6.87	4.95	2.56	6.83	86.02	30.3	72.76	0	13.68	14.66	129.77	12.58	64.85	1.15	2.3	4.63	91.22
"AX747104"	5	612	15	12	21	43	64	681	5	20	15	16	15	826	15	14	33	21
"AX747113"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"AX747114"	4.25	25.27	2.51	9.95	14.31	44.84	41.88	92.65	5.76	20.67	28.42	44.85	14.41	70.48	2.25	23.86	15.43	28.94
"AX747119"	0	6	0	0	0	0	0	96	0	0	0	3	0	42	0	0	0	0
"AX747123"	2.61	1.31	0	0	4.91	0	9.48	3.96	0	1.39	5.13	7.17	1.4	0	0	3.89	4.89	0
"AX747124"	0	0	4	4	2	1	0	2	0	3	1	8	1	0	0	19	1	0
"AX747125"	6.23	19.66	0	4.18	13.54	14.46	34.23	30.41	3.14	14.78	10.42	9.33	13.49	27.13	2.1	9.46	19.51	14.66
"AX747132"	45	94	198	211	69	63	49	188	526	102	100	59	87	480	435	204	35	36
"AX747135"	74	19	31	23	15	3	26	26	18	2	11	2	33	26	18	9	7	14
"AX747137"	0	12.16	0	0	0	0	0	165.64	0	0	0	0	0	99.81	0	0	6	0
"AX747140"	23	34	10	15	35	52	103	71	10	17	45	69	19	43	9	30	40	42
"AX747150"	28.65	1033.36	10.3	185.73	361.22	126.58	7.91	41.97	2.53	1	2.15	29.95	14.07	833.81	0	28.93	59.85	622.77
"AX747158"	51	62	29	88	104.63	204.6	152	213.83	53	120	196.37	200.2	206.01	276	34	172.86	170	172.56
"AX747161"	0	4.03	4	8	2	2	1	12.12	2	1	11.14	3	5	17.08	2.07	2	4.23	4.13
"AX747163"	0	6	0	17	3	17	0	88	1	2	0	12	2	21	2	20	2	3
"AX747164"	10.95	12.31	6.36	2.07	47.99	31.22	7.36	80.63	7.79	6.33	0	0	67.3	24.26	3.92	30.66	27.72	0
"AX747167"	100	122	408	112	149	56	63	122	445	16	259	17	48	195	784	74	152	67
"AX747171"	0	0	6	0	8	7	0	12	0	0	2	12	0	0	1	1	12	1
"AX747172"	3	3	0	7	7	27	17	6	2	12	30	28	26	6	1	18	14	9
"AX747174"	3	3	10	1	14	16	8	7	27	13	3	7	24	1	13	18	42	6
"AX747175"	0	3.76	2.86	0	3	5.72	15.39	21.04	0	1.08	0	13.57	1.31	5.38	0	0	8.94	10.08
"AX747178"	4.38	5	0	1.28	3	6	83.06	11.91	0	0	1	19.22	38.07	2	0	2	6.44	13.69
"AX747179"	0	0	0	0	24.62	40.73	4.51	37.29	0	2.65	79.82	76.39	26.19	37.76	0	31.36	28.38	42.11
"AX747182"	22	37	25	20	118.12	88	74.51	205.61	21.5	35	64.45	76.79	38.46	55.47	13	65.03	131.62	102
"AX747187"	1	42.7	0	6	8	207.59	1	32.2	0	3.11	51.92	20	0	33.24	0	4	20	48.34
"AX747189"	0	3	1	2	12	8	2	1	0	5	6	13	6	4	0	1	9	16
"AX747191"	6	0	1	1	1	37	2	7	0	1	2	47	5	3	0	7	3	19
"AX747192"	0	2	3	1	14	39	6	22	7	4	21	11	1	25	1	8	20	11
"AX747193"	0	0	8.88	4	1.73	6.21	12.31	2.21	0	7.88	5.45	40.02	0	9.57	0	19.62	0	12.22
"AX747197"	10	6	2	16	30	57	18	72	8	11	30	38	60	58	7	27	29	65
"AX747205"	21	32	19	23	45	37	45	77	26	18	41	72	19	18	9	21	35	78
"AX747206"	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
"AX747207"	0	0.93	0	0	2.49	37.71	1	0	0	0	1.15	35.15	0	0	2	0	4.51	45.51
"AX747213"	0	8	0	0	13.62	1	3	5	0	0	13	0	2	2	2	0	8	3
"AX747215"	19	12	1	6	13	22	65	19	3	11	19	21	31	25	1	6	28	13
"AX747227"	0	0	1.34	4.16	3.66	2.48	4.14	14.84	0	2.65	2.49	13.6	3.88	10.67	1.34	6.05	1.31	0
"AX747238"	1	5	4	2	17	16	39	16	1	3	15	8	18	3	1	8	37	20
"AX747246"	25	1	1	1	21	5	48	0	0	9	14	3	28	2	0	8	21	12
"AX747250"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AX747251"	0	0	0	0	0	0	1	1	0	0	4	0	0	2	0	0	1	0
"AX747261"	1	31	0	3	408	11	18	120	0	0	15	4	3	33	0	3	416	7
"AX747264"	19.76	0.66	41.8	50.38	11.54	37.15	0	13.9	22.72	127.23	27.9	26.77	12.7	7.79	56.2	58.12	30.65	7.39
"AX747269"	77	33	10	19	147	54	143	72	6	6	67	50	92	142	17	24	145	39
"AX747287"	98	0	3	0	190	0	276	0	0	0	3	0	307	0	0	0	302	0
"AX747325"	33	55.74	25.72	38.41	74.29	128.66	117	170.93	56.95	36	156.63	120.56	62	238.04	30	83.73	134.7	83.14
"AX747333"	3	13	0	7	10	17	23	40	1	4	15	6	12	28	3	15	9	14
"AX747345"	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"AX747367"	0	6.17	0	0	2	3	0	68.08	1	0	1	0	0	0	0	0	3	0
"AX747368"	43	80	57	23	105	52	15	82	33	6	51	19	10	98	36	22	77	41
"AX747372"	0	0	7	1	17	0	0	0	11	0	66	5	0	0	4	0	19	2
"AX747375"	0	10	1	0	0	1	0	26	0	0	8	0	0	22	0	0	8	0
"AX747376"	0	11.38	14.5	0	0	1.18	0	13.48	3.13	1.95	0	3.56	6.49	13.4	21.97	2.38	14.05	0
"AX747377"	0	7	4	10	0	6	0	33	2	12	0	4	0	14	2	12	1	1
"AX747379"	16	80	16	26	43	92	6	93	19	9	106	46	7	167	28	20	58	61
"AX747383"	6	0	0	0	2	8	1	4	0	0	11	1	1	0	0	1	5	0
"AX747384"	0	1	4	0	0	3	1	8	0	0	1	10	0	3	0	2	2	0
"AX747393"	7	9	1	1	3	13	0	14	2	4.01	5	14	3	43	1	6	3	33
"AX747401"	0	2	1	1	4	5	0	12	1	0	15	1	3	2	0	2	8	1
"AX747402"	0	31	0	0	0	0	0	81	0	0	0	1	0	18	0	0	0	0
"AX747405"	1	6	0	5	8	7	1	7	5	4	7	7	3	13	3	14	12	9
"AX747406"	6.47	46.7	4.01	43.06	43.2	32.82	0	211.53	2.07	36.78	5.53	57.02	17.45	251.57	4.11	75.22	7.91	18.7
"AX747408"	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"AX747413"	0	79	1	4	1	3	0	123	8	10	18	0	1	8	7	18	7	3
"AX747415"	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
"AX747416"	0	0	0	0	1	3	0	0	0	0	2	10.08	10	3	0	0	0	2
"AX747440"	11	8	3	1	14	4	9	29	0	0	8	6	6	38	0	0	34	5
"AX747444"	6	2	4	3	0	0	1	3	4	2	0	0	0	3	9	2	1	1
"AX747480"	0	7.02	0	10.26	4.28	3.96	4.66	10.41	3.88	0	4.19	0	7.46	6.5	1.79	8.08	2.07	4.04
"AX747485"	4	15	0	2	8	2	34	21	0	0	1	0	20	28	0	2	1	5
"AX747493"	12	34	5	8	17	31	12	38	2	7	27	20	9	42	5	8	20	20
"AX747507"	18	16	3	16	26	58	54	145	3	26	38	48	35	73	5	44	58	51
"AX747516"	1.03	34.22	11.43	14.43	16.61	15.51	21.69	49.9	10.34	16.52	24.85	18.34	19.72	74.65	20.65	8.28	24.89	22.53
"AX747517"	0	0	0	0	0	64.37	0	0	0	0	0	17.22	0	6	0	0	4.09	43.48
"AX747521"	2	27	1	7	21	50	26	44	9	4	30	83	13	24	1	11	21	52
"AX747527"	5	0	3	0	9	15	12	3	0	0	7	14	4	1	0	0	10	12
"AX747530"	0	25	2	0	12	32	2	61	0	4	5	37	1	84	0	1	15	44
"AX747531"	0	0	4	0	2	0	0	0	0	1	0	5	1	0	0	1	1	0
"AX747534"	0	20	3	9	0	7	0	11	1	0	1	1	1	21	0	6.36	3	2
"AX747535"	4.06	1.01	0	12.56	17.7	36.73	48.41	20.75	7.26	10.23	22.77	25.92	15.31	27.83	0	16.28	13.35	20.48
"AX747537"	37	0	2	10	6	10	77	14	13	10	20	5	16	9	15	14	4	10
"AX747544"	0	0	0	1	0	11	0	11	0	0	0	11	0	0	0	0	0	10
"AX747547"	0	0	0	0	0	6	0	0	0	1	3	5	0	6	0	0	1	7
"AX747550"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"AX747565"	5.98	16.55	0	33.85	23.37	30.36	63.88	43.16	1.55	33.16	37.98	37.02	22.01	48.76	2.99	39.17	35.51	28.62
"AX747577"	3	20	3	2	5	11	6	53	9	10	31	3	2	52	9	8	12	13
"AX747578"	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0
